Time[s] Temp[graderC] Pressure[mbar] altitude[m] accX[mg] accY[mg] accZ[mg] gyroX[degrees/s] gyroY[degrees/s] gyroZ[degrees/s] magX[µT] magY[µT] magZ[µT]
1.90 23.94 1022.16 28.13 0.032696 -0.037088 1.012112 0.56 0.07 -0.70 -0.1335 -0.4965 -0.6405
1.91 23.94 1022.16 28.14 0.033184 -0.038552 1.011624 0.56 0.07 -0.77 -0.1470 -0.4815 -0.6270
1.92 23.94 1022.18 28.13 0.032696 -0.036112 1.011136 0.56 0.07 -0.77 -0.1320 -0.4905 -0.6435
1.93 23.94 1022.24 28.10 0.033672 -0.035624 1.012600 0.56 0.07 -0.77 -0.1350 -0.4980 -0.6315
1.94 23.94 1022.14 28.11 0.032696 -0.036112 1.012112 0.63 0.07 -0.77 -0.1425 -0.4935 -0.6390
1.95 23.94 1022.14 28.13 0.033672 -0.035624 1.012600 0.63 0.07 -0.77 -0.1410 -0.4935 -0.6375
1.96 23.94 1022.18 28.12 0.032208 -0.037088 1.012600 0.56 0.07 -0.77 -0.1395 -0.4965 -0.6420
1.97 23.94 1022.15 28.13 0.032696 -0.037088 1.012112 0.56 0.07 -0.77 -0.1350 -0.4845 -0.6435
1.98 23.94 1022.15 28.14 0.032696 -0.037576 1.013576 0.63 0.07 -0.84 -0.1320 -0.4965 -0.6435
1.99 23.94 1022.16 28.14 0.033184 -0.037576 1.013088 0.56 0.07 -0.77 -0.1365 -0.4950 -0.6255
2.00 23.94 1022.13 28.16 0.032208 -0.036112 1.012600 0.56 0.07 -0.77 -0.1365 -0.4890 -0.6300
2.01 23.94 1022.12 28.18 0.033184 -0.036112 1.012112 0.63 0.07 -0.77 -0.1425 -0.4920 -0.6345
2.02 23.94 1022.12 28.19 0.031232 -0.035136 1.013576 0.63 0.07 -0.77 -0.1365 -0.4935 -0.6315
2.03 23.94 1022.17 28.19 0.031232 -0.035624 1.012600 0.63 0.07 -0.77 -0.1365 -0.4950 -0.6270
2.04 23.88 1022.12 28.20 0.033672 -0.035624 1.010648 0.63 0.07 -0.77 -0.1395 -0.4905 -0.6375
2.06 23.88 1022.17 28.20 0.033184 -0.036112 1.012112 0.63 0.07 -0.77 -0.1350 -0.4995 -0.6330
2.07 23.88 1022.18 28.19 0.033184 -0.036600 1.012600 0.63 0.07 -0.77 -0.1365 -0.4875 -0.6300
2.09 23.88 1022.20 28.17 0.032208 -0.035136 1.012600 0.56 0.07 -0.84 -0.1305 -0.4905 -0.6315
2.11 23.88 1022.19 28.16 0.033184 -0.034160 1.011136 0.56 0.07 -0.84 -0.1335 -0.4875 -0.6315
2.13 23.88 1022.16 28.16 0.032208 -0.036112 1.013088 0.56 0.07 -0.77 -0.1365 -0.4935 -0.6300
2.14 23.88 1022.16 28.17 0.033184 -0.035136 1.012600 0.63 0.07 -0.77 -0.1350 -0.4935 -0.6315
2.15 23.88 1022.20 28.15 0.032208 -0.036600 1.012600 0.56 0.07 -0.77 -0.1365 -0.4920 -0.6315
2.17 23.94 1022.10 28.18 0.032208 -0.037088 1.011624 0.63 0.07 -0.77 -0.1305 -0.4965 -0.6285
2.18 23.94 1022.10 28.20 0.031720 -0.036112 1.011624 0.56 0.07 -0.77 -0.1425 -0.4875 -0.6375
2.19 23.94 1022.21 28.18 0.032208 -0.037088 1.012600 0.63 0.07 -0.77 -0.1395 -0.4905 -0.6315
2.20 23.94 1022.18 28.18 0.033672 -0.035136 1.012112 0.63 0.07 -0.77 -0.1335 -0.4920 -0.6270
2.21 23.94 1022.19 28.17 0.032696 -0.036112 1.013576 0.63 0.07 -0.84 -0.1245 -0.4935 -0.6315
2.22 23.94 1022.19 28.16 0.031232 -0.036600 1.011624 0.63 0.07 -0.77 -0.1410 -0.4875 -0.6360
2.23 23.94 1022.12 28.18 0.033184 -0.036600 1.012112 0.63 0.07 -0.84 -0.1275 -0.4935 -0.6315
2.24 23.94 1022.11 28.20 0.031720 -0.035624 1.011136 0.56 0.07 -0.84 -0.1320 -0.4905 -0.6255
2.25 23.94 1022.14 28.21 0.033184 -0.037088 1.013088 0.56 0.14 -0.77 -0.1440 -0.5040 -0.6315
2.26 23.94 1022.14 28.22 0.032208 -0.034648 1.012112 0.56 0.07 -0.77 -0.1335 -0.4860 -0.6270
2.27 23.94 1022.19 28.20 0.032208 -0.037088 1.011624 0.63 0.07 -0.77 -0.1260 -0.4845 -0.6240
2.28 23.94 1022.15 28.21 0.032696 -0.036600 1.013088 0.56 0.07 -0.84 -0.1350 -0.5010 -0.6435
2.29 23.94 1022.19 28.20 0.034160 -0.036600 1.011624 0.56 0.07 -0.77 -0.1380 -0.4920 -0.6360
2.30 23.94 1022.19 28.18 0.032696 -0.038552 1.013576 0.63 0.07 -0.77 -0.1365 -0.4920 -0.6435
2.31 23.94 1022.14 28.19 0.031720 -0.035136 1.010648 0.56 0.07 -0.77 -0.1335 -0.4890 -0.6315
2.32 23.94 1022.16 28.19 0.033184 -0.037576 1.012112 0.63 0.07 -0.77 -0.1395 -0.4890 -0.6330
2.33 23.94 1022.16 28.19 0.032208 -0.036600 1.013576 0.63 0.07 -0.77 -0.1245 -0.4980 -0.6285
2.34 23.94 1022.16 28.19 0.032208 -0.036112 1.011136 0.56 0.07 -0.84 -0.1365 -0.4995 -0.6375
2.35 23.94 1022.15 28.20 0.032696 -0.036600 1.012600 0.63 0.07 -0.77 -0.1335 -0.4980 -0.6405
2.36 23.94 1022.20 28.18 0.033184 -0.035624 1.011624 0.63 0.07 -0.77 -0.1395 -0.4905 -0.6375
2.37 23.94 1022.11 28.20 0.032208 -0.035624 1.013088 0.63 0.07 -0.77 -0.1380 -0.4935 -0.6285
2.38 23.94 1022.11 28.22 0.031720 -0.037576 1.011624 0.63 0.07 -0.77 -0.1320 -0.4965 -0.6405
2.39 23.94 1022.13 28.23 0.031720 -0.036600 1.011624 0.63 0.07 -0.77 -0.1365 -0.4905 -0.6330
2.40 23.94 1022.16 28.23 0.032696 -0.037576 1.012600 0.63 0.07 -0.77 -0.1395 -0.4905 -0.6315
